second,V_supply,V_in,I_other,I_in
+1.836754E+00,+0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+1.844504E+00,-0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+1.852254E+00,-66.946E-03,+2.476987E+00,+669E-06,+0.0E+00
+1.860004E+00,-66.946E-03,+2.476987E+00,-669E-06,+0.0E+00
+1.867754E+00,+0.0E+00,+2.443515E+00,-1.339E-03,+33.473E-03
+1.875504E+00,-0.0E+00,+2.410042E+00,+1.339E-03,-33.473E-03
+1.883254E+00,-66.946E-03,+2.443515E+00,+669E-06,+0.0E+00
+1.891004E+00,-66.946E-03,+2.443515E+00,-669E-06,+0.0E+00
+1.898754E+00,-66.946E-03,+2.476987E+00,-2.008E-03,+33.473E-03
+1.906504E+00,-0.0E+00,+2.443515E+00,+0.0E+00,+0.0E+00
+1.914254E+00,-66.946E-03,+2.443515E+00,+0.0E+00,-0.0E+00
+1.922004E+00,+0.0E+00,+2.476987E+00,+1.339E-03,-33.473E-03
+1.929754E+00,+0.0E+00,+2.476987E+00,-1.339E-03,-66.946E-03
+1.937504E+00,-0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+1.945254E+00,-66.946E-03,+2.476987E+00,+669E-06,-0.0E+00
+1.953004E+00,+0.0E+00,+2.476987E+00,+0.0E+00,-33.473E-03
+1.960754E+00,+0.0E+00,+2.510460E+00,+3.347E-03,-0.0E+00
+1.968504E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-33.473E-03
+1.976254E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+1.984004E+00,-0.0E+00,+2.443515E+00,+2.008E-03,+0.0E+00
+1.991754E+00,-66.946E-03,+2.443515E+00,+669E-06,+0.0E+00
+1.999504E+00,-66.946E-03,+2.443515E+00,-669E-06,-0.0E+00
+2.007254E+00,-66.946E-03,+2.443515E+00,+2.008E-03,-33.473E-03
+2.015004E+00,-0.0E+00,+2.510460E+00,+669E-06,+0.0E+00
+2.022754E+00,-66.946E-03,+2.443515E+00,-2.678E-03,+0.0E+00
+2.030504E+00,+0.0E+00,+2.443515E+00,+0.0E+00,-0.0E+00
+2.038254E+00,+0.0E+00,+2.443515E+00,+669E-06,-33.473E-03
+2.046004E+00,+0.0E+00,+2.443515E+00,-4.017E-03,-33.473E-03
+2.053754E+00,+0.0E+00,+2.443515E+00,-2.008E-03,-33.473E-03
+2.061504E+00,+0.0E+00,+2.443515E+00,-2.678E-03,-33.473E-03
+2.069254E+00,-0.0E+00,+2.443515E+00,-3.347E-03,-66.946E-03
+2.077004E+00,-66.946E-03,+2.443515E+00,+2.008E-03,+0.0E+00
+2.084754E+00,-66.946E-03,+2.476987E+00,+669E-06,+33.473E-03
+2.092504E+00,+0.0E+00,+2.510460E+00,-2.008E-03,+0.0E+00
+2.100254E+00,+0.0E+00,+2.443515E+00,+669E-06,+0.0E+00
+2.108004E+00,+0.0E+00,+2.410042E+00,-1.339E-03,-0.0E+00
+2.115754E+00,-0.0E+00,+2.443515E+00,-0.0E+00,-33.473E-03
+2.123504E+00,-66.946E-03,+2.476987E+00,-669E-06,+0.0E+00
+2.131254E+00,-66.946E-03,+2.443515E+00,+0.0E+00,+0.0E+00
+2.139004E+00,+0.0E+00,+2.476987E+00,+669E-06,-0.0E+00
+2.146754E+00,+0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+2.154504E+00,-0.0E+00,+2.443515E+00,-669E-06,+0.0E+00
+2.162254E+00,-66.946E-03,+2.476987E+00,-0.0E+00,+0.0E+00
+2.170004E+00,+0.0E+00,+2.443515E+00,-669E-06,+0.0E+00
+2.177754E+00,+0.0E+00,+2.476987E+00,+0.0E+00,-0.0E+00
+2.185504E+00,+0.0E+00,+2.443515E+00,+0.0E+00,-33.473E-03
+2.193254E+00,+0.0E+00,+2.476987E+00,+0.0E+00,-33.473E-03
+2.201004E+00,+0.0E+00,+2.443515E+00,+0.0E+00,-0.0E+00
+2.208754E+00,+0.0E+00,+2.443515E+00,+669E-06,-33.473E-03
+2.216504E+00,-0.0E+00,+2.443515E+00,+1.339E-03,+0.0E+00
+2.224254E+00,-66.946E-03,+2.443515E+00,+1.339E-03,+0.0E+00
+2.232004E+00,-66.946E-03,+2.443515E+00,+0.0E+00,-0.0E+00
+2.239754E+00,+0.0E+00,+2.443515E+00,+1.339E-03,-33.473E-03
+2.247504E+00,+66.946E-03,+2.476987E+00,+1.339E-03,+33.473E-03
+2.255255E+00,-66.946E-03,+2.476987E+00,-1.339E-03,-33.473E-03
+2.263005E+00,-66.946E-03,+2.510460E+00,+0.0E+00,-33.473E-03
+2.270755E+00,-66.946E-03,+2.443515E+00,+0.0E+00,-0.0E+00
+2.278505E+00,+0.0E+00,+2.476987E+00,-0.0E+00,-33.473E-03
+2.286255E+00,-0.0E+00,+2.443515E+00,-1.339E-03,-33.473E-03
+2.294005E+00,-66.946E-03,+2.443515E+00,-1.339E-03,-66.946E-03
+2.301755E+00,+0.0E+00,+2.443515E+00,+2.678E-03,+0.0E+00
+2.309505E+00,+0.0E+00,+2.476987E+00,-1.339E-03,+33.473E-03
